Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10,Q10_2_TEXT,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q20_2_TEXT,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q21_17,Q21_18,Q21_19,Q21_20,Q21_21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q22_14,Q22_15,Q22_16,Q22_17,Q22_18,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,Q23_13,Q23_14,Q23_15,Q23_16,Q23_17,Q23_18,Q24_1,Q24_2,Q24_3,Q25_1,Q25_2,Q25_3,Q26_1,Q26_2,Q26_3,Q27_1,Q28_1,Q29,Q29_7_TEXT,Q30,Q30_7_TEXT
46,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Overweight,Married (Cohabiting),Somewhat disagree,Somewhat agree,Disagree,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Agree,"Yes, please indicate how many children you have",4,Gaining weight ,150,I'm fairly confident about my estimate   ,Over a month ago   ,64,,,210,125,"Yes, If Yes add box please briefly describe what is working for you",Daily exercise and low fat diet. It works of I stick to it,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,2,0,0,4,0,0,5,2,5,0,2,0,0,2,2,6,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,6,4,4,34,32,34,,,,,,,3,3,No  ,,No  ,
24,Female   ,Some College   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,112,I'm very confident about my estimate  ,Today   ,62,"Started a medication with weight gain as a side effect   ,Significant relationship change ",,128,100,No  ,,Sometimes,Often,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Often,Sometimes,Never,Often,Sometimes,1,0,0,3,2,3,7,6,7,3,2,1,0,3,0,5,2,2,,,,,,,,,,,,,,,,,,,61,90,71,39,,,,,,1,,No  ,,,
24,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Disagree,Agree,Strongly agree,Somewhat agree,Agree,Disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Strongly agree,No,,Losing weight   ,120,I'm very confident about my estimate  ,Over a week ago   ,"68""",Significant relationship change ,,135,120,"Yes, If Yes add box please briefly describe what is working for you","Controlling portion size, getting enough activity, and not letting myself worry about calories but rather quality.",Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Often,Often,Rarely,Never,Never,Sometimes,Rarely,4,0,0,5,6,4,6,6,4,0,3,0,0,2,2,6,1,2,0,0,0,3,6,6,5,2,7,0,0,0,0,2,0,6,2,1,55,71,71,60,78,8,8,40,8,4,5,No  ,,No  ,
,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neither agree nor disagree,"Yes, please indicate how many children you have",1,Losing weight   ,154,I'm very confident about my estimate  ,This week   ,69,"Pregnancy   ,Started a medication with weight gain as a side effect   ,Significant relationship change ",,199 lbs during pregnancy,135 lbs,"Yes, If Yes add box please briefly describe what is working for you",Breast feeding. Lost a lot of weight,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,0,0,0,7,0,0,0,3,7,2,4,1,0,3,0,0,0,1,0,0,0,3,0,3,5,0,2,2,0,0,0,7,0,0,2,1,88,86,86,58,37,4,51,4,5,5,4,No  ,,No  ,
22,Male   ,2-year College Degree   ,White/Caucasian   ,Yes   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,200,I'm very confident about my estimate  ,This week   ,74,,Exercised at least 2 hours daily for weight loss   ,240,185,"Yes, If Yes add box please briefly describe what is working for you",Exercise,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Often,Often,Often,Sometimes,Rarely,Rarely,Sometimes,1,2,1,4,6,2,3,5,5,1,1,1,0,5,2,7,4,4,,,,,,,,,,,,,,,,,,,88,91,87,76,48,79,,,,4,,No  ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,170,I'm very confident about my estimate  ,Over a week ago   ,73,Significant relationship change ,,180,160,No  ,,Sometimes,Sometimes,Never,Sometimes,Never,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Often,Sometimes,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,3,4,1,,,,,,,,,,,,,,,,,,,95,94,94,50,80,19,0,,,4,,No  ,,,
,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,"Yes, please indicate how many children you have",2,Keeping my weight about the same   ,220,I'm very confident about my estimate  ,Over a week ago   ,72,"Started a medication with weight gain as a side effect   ,Significant relationship change ",,225,195,No  ,,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,0,0,0,5,2,2,3,0,1,0,0,0,0,7,0,7,5,0,4,5,5,4,1,1,2,5,3,3,5,2,0,2,0,5,1,2,85,85,85,80,40,10,40,90,90,5,3,No  ,,No  ,
23,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Agree,Strongly Disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,No,,Keeping my weight about the same   ,154,I'm very confident about my estimate  ,This week   ,64 inches,"Started a medication with weight gain as a side effect   ,Significant relationship change ",Exercised at least 2 hours daily for weight loss   ,166,125,No  ,,Sometimes,Rarely,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Rarely,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Rarely,Never,Never,Never,2,0,0,2,3,3,6,4,6,1,3,0,0,5,7,1,2,4,0,0,0,2,1,5,5,1,3,7,0,0,0,5,5,0,2,3,50,20,89,90,51,20,20,20,20,3,4,No  ,,No  ,
40,Female   ,Masters Degree   ,White/Caucasian   ,No   ,Obese,Divorced/Separated,,,,,,,,,,,,No,,Losing weight   ,295,I'm very confident about my estimate  ,Today   ,65 in,Significant relationship change ,Using diuretics,357,207,"Yes, If Yes add box please briefly describe what is working for you",low carb,Often,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,6,4,4,4,3,3,0,6,6,6,6,0,0,3,,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,51,92,93,83,1,,1,2,3,No  ,,No  ,
43,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Divorced/Separated,,,,,,,,,,,,"Yes, please indicate how many children you have",5,Keeping my weight about the same   ,140,I'm very confident about my estimate  ,This week   ,67,Significant relationship change ,,199 (pregnancy),123,"Yes, If Yes add box please briefly describe what is working for you","Calorie and portion awareness. But that's only when I'm not feeling completely overwhelmed by some other aspect in my life--when I'm stressed, the first thing to go is mindful eating. ",Rarely,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,,Rarely,Never,2,4,1,2,0,4,5,3,7,2,4,0,0,2,0,1,2,1,,,,,,,,,,,,,,,,,,,91,86,92,88,88,90,,,,5,,No  ,,,
22,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Gaining weight ,150,I'm fairly confident about my estimate   ,Over a month ago   ,71,,,160,135,No  ,,Often,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,1,0,0,2,0,4,6,3,2,0,0,0,0,4,1,5,2,3,,,,,,,,,,,,,,,,,,,75,70,75,50,50,20,,,,4,,No  ,,,
47,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Obese,Married (Cohabiting),Agree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,"Yes, please indicate how many children you have",2,Keeping my weight about the same   ,228,I'm very confident about my estimate  ,Today   ,70,,,230,175,"Yes, If Yes add box please briefly describe what is working for you",Portion Control,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Never,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,1,2,0,3,0,0,1,2,0,2,2,0,0,4,1,7,7,0,0,0,0,1,4,7,1,2,4,1,2,0,0,3,1,0,3,1,20,20,20,71,80,65,92,50,51,4,4,No  ,,No  ,
30,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Overweight,Married (Cohabiting),Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Disagree,"Yes, please indicate how many children you have",1,Gaining weight ,183,I'm very confident about my estimate  ,Today   ,65,"Pregnancy   ,Started a medication with weight gain as a side effect   ,Significant relationship change ",,190,125,"Yes, If Yes add box please briefly describe what is working for you","If I exercise that helps a ton, counting calories also helps",Sometimes,Often,Rarely,Rarely,Rarely,Never,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,Often,,Sometimes,Rarely,Often,Sometimes,5,0,0,7,3,2,4,0,7,1,2,1,0,5,5,7,1,4,0,0,0,0,0,0,3,0,7,2,0,0,0,7,0,7,2,3,84,35,45,63,68,63,1,1,1,3,3,No  ,,No  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Female   ,2-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,No,,Keeping my weight about the same   ,115,I'm very confident about my estimate  ,This week   ,5?5?,"Pregnancy   ,Significant relationship change ",,125,110,"Yes, If Yes add box please briefly describe what is working for you","I don?t really do anything, I eat normally and never have weight problems ",Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,2,0,0,4,1,1,2,1,3,1,2,3,0,3,0,3,1,2,0,0,0,3,2,2,1,0,2,0,0,0,0,4,1,5,2,2,80,80,90,40,70,15,80,61,3,4,3,No  ,,No  ,
28,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,"Yes, please indicate how many children you have",2,Keeping my weight about the same   ,115,I'm very confident about my estimate  ,Over a week ago   ,62,"Pregnancy   ,Started a medication with weight gain as a side effect   ",,140,103,"Yes, If Yes add box please briefly describe what is working for you",eating intuitively & working out,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Never,5,0,0,5,6,6,6,5,7,1,3,5,0,1,4,1,1,4,0,0,0,3,2,6,2,0,7,3,1,0,0,2,0,0,2,0,80,60,70,85,34,28,37,,,4,4,No  ,,No  ,
57,Female   ,Masters Degree   ,White/Caucasian   ,No   ,Overweight,Married (Cohabiting),Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,"Yes, please indicate how many children you have",4,Gaining weight ,133,I'm very confident about my estimate  ,Today   ,65,"Started a medication with weight gain as a side effect   ,Significant medical experience impeding mobility   ",,135,107,"Yes, If Yes add box please briefly describe what is working for you","low carb, low sugar, high fruit vegetables, moderate exercise",Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,4,0,0,5,0,3,7,3,7,7,0,1,0,1,1,0,1,2,0,0,0,4,3,2,0,7,3,7,0,1,0,1,1,0,3,2,71,71,72,83,83,81,85,85,2,4,4,No  ,,No  ,
28,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,"Yes, please indicate how many children you have",2,Losing weight   ,123 (7 weeks postpartum),I'm very confident about my estimate  ,This week   ,63 inches ,"Pregnancy   ,Significant relationship change ",,143 (pregnant) 124 non-pregnancy related ,109,"Yes, If Yes add box please briefly describe what is working for you","Exercise & eat well. I?m fairly active with 2 kids. I?m trying to get back into exercising and aim for 2-3 workouts a week. I have to live gluten free because of Celiac, which I believe helps my whole family eat better. I also limit sugar for me and my family. ",Sometimes,Sometimes,Rarely,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely,Never,2,0,0,5,2,7,5,0,7,3,7,0,0,0,0,2,1,1,0,0,0,4,1,4,3,0,6,1,0,0,0,0,0,2,1,1,95,84,85,90,50,0,90,50,0,4,4,No  ,,No  ,
39,Female   ,4-year College Degree   ,Pacific Islander   ,No   ,Overweight,Married (Cohabiting),Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,"Yes, please indicate how many children you have",2,Gaining weight ,155,I'm very confident about my estimate  ,This week   ,64,Significant relationship change ,,245,125,"Yes, If Yes add box please briefly describe what is working for you",healthy eating/lower calories,Often,Often,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,0,6,6,2,5,4,5,6,6,4,6,1,0,2,1,1,1,2,3,6,6,4,7,7,7,5,5,5,6,0,0,1,3,0,1,2,61,50,50,80,70,50,50,70,80,4,3,No  ,,No  ,
21,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,No,,Keeping my weight about the same   ,125,I'm fairly confident about my estimate   ,Today   ,66,Pregnancy   ,,125,115,"Yes, If Yes add box please briefly describe what is working for you","Balanced meal plan/shopping according to meal plan, cardio and strength exercise at home 3+ times per week, walks with dog almost daily",Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Rarely,Never,Never,Never,4,0,0,7,3,4,3,3,7,1,5,0,0,2,0,2,2,2,1,0,0,7,4,7,5,5,3,0,0,0,0,6,0,1,3,0,100,96,97,80,40,15,97,69,9,5,5,No  ,,No  ,
,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Underweight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,122,I'm very confident about my estimate  ,This week   ,69.5,,Exercised at least 2 hours daily for weight loss   ,140,120,"Yes, If Yes add box please briefly describe what is working for you",Eating well and exercise ,Often,Often,Often,Sometimes,Often,Often,Rarely,Rarely,Often,Rarely,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Often,Sometimes,3,0,0,3,6,6,6,3,7,1,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,87,80,91,32,14,,,,3,4,No  ,,No  ,
24,Female   ,2-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Somewhat agree,Disagree,Agree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,"Yes, please indicate how many children you have",2,Keeping my weight about the same   ,137,I'm very confident about my estimate  ,Today   ,66,"Pregnancy   ,Significant relationship change ",,168,135,No  ,,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,2,0,0,4,3,4,3,3,2,5,2,2,0,1,0,6,3,2,7,7,7,4,2,0,2,5,3,2,4,1,0,5,0,3,2,3,92,84,87,61,29,30,36,99,97,4,5,No  ,,No  ,
28,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,200,I'm fairly confident about my estimate   ,Over a week ago   ,75,"Started a medication with weight gain as a side effect   ,Significant relationship change ","Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",225,160,"Yes, If Yes add box please briefly describe what is working for you",Keto ,Never,Sometimes,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Often,Rarely,Rarely,Rarely,Often,Rarely,7,7,7,7,4,6,7,7,7,0,5,2,0,1,0,2,1,3,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,3,7,3,69,100,84,0,0,0,0,24,0,2,5,No  ,,No  ,
25,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Losing weight   ,125,I'm fairly confident about my estimate   ,Over a week ago   ,63,Pregnancy   ,,144,125,"Yes, If Yes add box please briefly describe what is working for you",I sort of follow the Keto diet plan plus working out,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,4,0,0,4,4,2,6,6,2,1,2,0,0,1,0,2,2,1,,,,,,,,,,,,,,,,,,,70,70,70,60,80,30,,,,4,,No  ,,,
24,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Agree,Strongly agree,Agree,Somewhat disagree,Disagree,Disagree,Disagree,,Agree,"Yes, please indicate how many children you have",1,Keeping my weight about the same   ,108,I'm fairly confident about my estimate   ,Over a week ago   ,63.5,"Pregnancy   ,Started a medication with weight gain as a side effect   ,Significant relationship change ",,150,95,"Yes, If Yes add box please briefly describe what is working for you",eat healthy and exercise,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,1,0,0,4,2,1,4,3,5,0,5,1,0,3,1,7,1,3,0,0,0,4,5,5,2,0,7,2,0,0,0,3,0,7,4,3,85,85,75,30,60,50,10,0,,4,4,No  ,,No  ,
42,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Overweight,Married (Cohabiting),Strongly agree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Agree,"Yes, please indicate how many children you have",3,Keeping my weight about the same   ,220,I'm fairly confident about my estimate   ,This week   ,69,,"Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",230,175,No  ,,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Rarely,Never,Rarely,Rarely,1,1,0,3,1,5,5,3,5,2,1,3,0,6,3,2,4,3,2,3,2,3,1,2,3,4,6,3,4,1,0,4,2,0,4,2,66,66,70,30,35,29,35,60,40,3,4,No  ,,"Yes, Gastric sleeve",
29,Female   ,Masters Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Agree,Strongly Disagree,Agree,Does not Apply to Me,Disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Somewhat agree,No,,Keeping my weight about the same   ,162,I'm very confident about my estimate  ,This week   ,70,,,175,125,"Yes, If Yes add box please briefly describe what is working for you",Moderate exercise with suggested meal sizes for my age/size,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Sometimes,Often,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,1,0,0,7,6,2,4,5,4,5,1,2,0,1,4,2,0,5,0,0,0,2,1,0,1,4,3,2,1,1,0,5,1,2,1,2,20,74,88,69,93,22,28,88,4,4,2,No  ,,No  ,
20,Male   ,2-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,154,I'm fairly confident about my estimate   ,Over a month ago   ,72,,,160,149,"Yes, If Yes add box please briefly describe what is working for you",don't eat when I'm not hungry,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Never,Never,2,0,0,6,6,6,7,3,3,0,0,0,0,1,0,6,1,0,,,,,,,,,,,,,,,,,,,71,100,73,40,40,41,,,,5,,No  ,,,
29,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Disagree,Agree,Strongly agree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,"Yes, please indicate how many children you have",1,Keeping my weight about the same   ,195,I'm very confident about my estimate  ,This week   ,77,,,200,170,"Yes, If Yes add box please briefly describe what is working for you","It is not difficult for me to maintain my weight. I generally eat healthy, but not always. I exercise regularly, but also go through bouts of not exercising due to schedule complications. Basically, I live a fairly balanced lifestyle. ",Often,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Often,Sometimes,Rarely,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,2,0,0,4,1,5,4,0,7,2,4,0,0,1,0,1,0,3,4,0,0,4,5,5,6,4,7,3,4,0,0,1,0,0,0,1,95,95,90,60,10,0,90,90,,4,3,No  ,,No  ,
,Female   ,2-year College Degree   ,White/Caucasian   ,No   ,Overweight,Married (Cohabiting),Strongly agree,Somewhat disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Somewhat agree,Strongly Disagree,Disagree,Disagree,Agree,"Yes, please indicate how many children you have",1,Gaining weight ,127,I'm very confident about my estimate  ,This week   ,58,Pregnancy   ,"Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",135,105,No  ,,Often,Sometimes,Rarely,Never,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,0,0,0,4,1,5,1,3,7,1,7,1,0,5,7,2,1,1,0,0,0,7,1,7,0,0,7,0,0,0,0,2,0,3,2,0,15,18,15,48,61,50,,,,3,4,No  ,,No  ,
24,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,175,I'm very confident about my estimate  ,This week   ,70,,,185,155,"Yes, If Yes add box please briefly describe what is working for you",Eat healthy,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,3,0,0,5,1,3,6,5,5,3,2,0,0,4,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,90,85,75,20,10,,,,5,,No  ,,,
,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Agree,Agree,Somewhat agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly agree,"Yes, please indicate how many children you have",3,Keeping my weight about the same   ,153,I'm very confident about my estimate  ,Over a week ago   ,69 inches,Pregnancy   ,,172,145,"Yes, If Yes add box please briefly describe what is working for you","Eating healthy, sleep, exercise, water",Rarely,Sometimes,Rarely,,,,,,,,,,,,,,,,,,,7,0,0,4,4,5,4,3,4,0,2,0,0,0,1,2,2,1,0,0,0,3,3,4,2,0,3,2,1,0,0,2,0,2,2,1,91,90,92,99,76,33,93,73,49,4,5,No  ,,No  ,
23,Male   ,4-year College Degree   ,Prefer not to answer ,Prefer not to answer,Overweight,Married (Cohabiting),Strongly agree,Neither agree nor disagree,Disagree,Agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,No,,Gaining weight ,165,I have some doubts about my estimate   ,Over a month ago   ,73,Significant relationship change ,"Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",165,120,No  ,,Sometimes,Often,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,0,0,0,5,1,3,7,1,5,0,0,4,0,2,6,3,2,4,3,0,0,2,1,5,7,7,7,1,1,0,0,0,3,1,3,2,28,23,70,20,17,10,50,75,29,4,3,No  ,,No  ,
